CompanyName,LogoFile,Source
Qantas Airways Ltd,Quantas_Primary.png,
Virgin Australia,Virgin_Austrlia_Primary.png,https://en.wikipedia.org/wiki/File:Virgin_Australia_Logo_2022.svg
Bupa Health,Bupa_Health_Primary.png,https://www.dreamstime.com/bupa-healthcare-company-logo-logo-bupa-healthcare-company-samsung-tablet-holded-arab-muslim-woman-bupa-image104440171
Medibank Pvt Ltd,Medibank.webp,https://www.dreamstime.com/photos-images/medibank.html
Westpac Bank,Westpac.png,https://www.google.com/search?q=westpac+logo&rlz=1C1UEAD_enIN970IN970&oq=westpac&gs_lcrp=EgZjaHJvbWUqDQgAEAAYkQIYgAQYigUyDQgAEAAYkQIYgAQYigUyBggBEEUYOTINCAIQABiRAhiABBiKBTIZCAMQLhiDARjHARiRAhixAxjRAxiABBiKBTINCAQQABiRAhiABBiKBTINCAUQABiRAhiABBiKBTIHCAYQABiABDINCAcQLhjHARjRAxiABDINCAgQABiDARixAxiABDIHCAkQABiABNIBCDQ0MjBqMGo0qAIAsAIB&sourceid=chrome&ie=UTF-8#vhid=CmIlI7c8AVqYJM&vssid=_eU_NaPz2E5ONseMP-vfL8A4_51
ANZ Banking Group,ANZ_Primary.png,https://www.pngegg.com/en/png-nmjsk
Mirvac Lifestyle,Mirvac.jpg,https://luxurylifestyleawards.com/winners/top-100-sustainable-real-estate-companies/mirvac/mirvac-logo-corp
Fitness First,fitness_first.jpg,https://en.wikipedia.org/wiki/Fitness_First
Australian Museum,Australian_museum_Primary.png,https://en.wikipedia.org/wiki/Australian_Museum
BMW Australia,BMW.svg,https://en.wikipedia.org/wiki/BMW_in_Formula_One
Crown Resorts,Crown_Resort.png,https://en.wikipedia.org/wiki/Crown_Resorts
